,AST,BLK,DRB,ORB,PTS,STL,TOV,TS,Team,Year,aAST,aBLK,aDRB,aORB,aPTS,aSTL,aTOV,aTS
0,0.26092653431010654,0.07763852803996771,0.2927072716638979,-0.025481852472859643,3.066586545554777,-0.06341831823301596,-0.09195417549663047,2.5025858102337666,Phoenix Suns,2005,-0.005341157572321524,-0.08121420844342425,0.146595699797467,0.35509160074558854,1.5014910527954592,0.015308139113528659,-0.08331252034683632,-1.0800795572908861
1,0.37258858447207605,-0.11848584211631208,0.01068901676764157,0.0546857732844518,1.513490592132662,0.08260128582494418,-0.16639554227127681,0.7095089957387721,Sacramento Kings,2005,0.030425522599474255,-0.04830886268537214,0.12084369007377405,0.16767419664537866,1.0750675938015488,0.008154803079169503,0.02112618575480735,0.17449347003084242
2,-0.19287949006610292,0.08909104600529792,0.11805637269261225,0.007444136677464699,1.230595154350856,0.13127448717759757,-0.12488016464695481,0.956945598743459,Dallas Mavericks,2005,-0.04396917215786096,0.0003338223482701156,0.02785032162710502,0.12475418043922373,-0.10810735580127306,-0.04621055078196008,0.12699555906332285,-0.667970943723462
3,0.06480216415382672,0.10770138769895951,0.2740969299702363,-0.1400070321261617,1.0099367128810475,-0.1264071670423321,-0.08909104600529792,1.7749564219845093,Miami Heat,2005,-0.17845188960381309,-0.19280625057942707,-0.07229638285392316,-0.08984590059155093,-0.5345308147951835,-0.00758253619642064,-0.14912321186294056,-1.2488645965936067
4,0.09343345906715225,0.03469158566997944,-0.01364758390868512,-0.10851260772150365,0.944870762191232,0.07258033260528025,0.15427496075796898,1.3226359831299617,Boston Celtics,2005,0.16347757283855455,0.004625823968885609,-0.029376366647768222,0.07754216261245331,0.7897842937704116,0.13977618611137796,0.12556489185645103,0.20269705703742524
5,-0.2601630331124179,-0.07410733500065753,-0.10526772763132677,0.21215789530774215,0.7666466363886942,0.14272700514292777,-0.02467063245031551,-0.40350796537539524,Washington Wizards,2005,0.20067492021722216,0.01893249603760392,0.08936901152259376,0.04606748406127303,0.8948886674660937,-0.04334921636821642,0.16705424085573412,0.7340804894925085
6,-0.10698560532612637,-0.1170542773706458,-0.0050581954346874645,-0.20156431618981158,0.5884225105861565,0.006728354304631561,-0.14635363583194896,0.6105957245201424,Toronto Raptors,2005,0.09909754852932215,-0.0554621987197313,0.3898091249656783,0.008870136682605417,1.0240168980065032,-0.15637192571109107,-0.010348492796372934,0.8332749707891205
7,0.3053050414257611,0.12917485888395364,0.036457182189634535,-0.025481852472859643,0.5403302861632494,0.19140020649558115,0.04977073432433084,0.31925124621198936,Denver Nuggets,2005,0.047593529081936224,0.08474318755370815,-0.009347025751562587,-0.014020538627343879,0.07507455263977296,0.028184143975375137,0.21855826030312003,-0.07672414857551935
8,-0.23153173819909237,0.0604597510919724,0.13809827913194012,0.07615924446944594,0.5375013317854314,0.023907131252626872,0.19006407939962586,0.005617185967240658,Orlando Magic,2005,0.0032428456689094624,-0.06404620196096228,-0.02794569944089639,0.05608215450937584,1.1231153074910036,0.11688551080142867,0.0010968448586017156,0.17550784164523586
9,-0.04972301549947534,-0.11132801838798069,0.12664576116660992,-0.10851260772150365,0.44697479169525345,0.1999895949695788,0.12134897160764463,-0.09927188099560126,Philadelphia 76ers,2005,0.19066024976911933,-0.022556852961679183,0.3082610941739839,-0.046925884385395994,0.6576530811244111,0.09256416828460753,0.29295295506045527,0.46546909722945057
10,-0.36896195378305485,-0.086991417711654,-0.19545630660830215,0.08045393870644477,0.40454047602798254,-0.0906180484006752,-0.10913295244462579,0.9822408084517467,Oklahoma City Thunder,2005,-0.06685984746781026,-0.012542182513576364,-0.3913351699863415,-0.07840056293657628,-0.13513419475159133,-0.15494125850421925,-0.14912321186294056,0.777908011998355
11,-0.10412247583479381,-0.07840202923765635,0.09085664252495301,0.06184359701278318,0.3536192972272575,-0.1550384619556576,-0.018944373467650405,0.32657915072095595,Los Angeles Lakers,2005,0.36663231621435455,0.030377833692578567,0.007820980730899386,0.054651487302504013,1.105097414857458,0.015308139113528659,-0.3208032766875603,0.42487264673878017
12,0.09486502381281853,0.030396891432980612,-0.01651071340001767,0.1205377515851005,0.35079034284943944,0.03679121396362335,-0.11056451719029206,-1.0304837173909032,Golden State Warriors,2005,0.16204690563168272,0.026085832071963074,0.4627731525161417,0.10329417233614627,0.9038976137828665,-0.06623989167816571,0.0969515477190144,0.24422518984401048
13,-0.11414342905445775,-0.1986534678736235,-0.07806799746366754,-0.028344981964192197,0.019802680644726418,0.01818087226996177,0.02113943941100532,0.1260307586622952,New York Knicks,2005,-0.0682905146746821,-0.013972849720448195,0.0006676446965402312,-0.022604541868574867,0.6216172958573202,-0.02045854105826712,0.008250180892960871,1.235448545904665
14,-0.035407368042812574,-0.15713809024930153,-0.06088922051567222,0.00028631294913332027,0.008486863133454179,-0.12497560229666581,-0.08193322227696655,-0.1257622104647828,Milwaukee Bucks,2005,0.29796029028450666,-0.041155526651012984,-0.04940570754397386,-0.07124722690221713,0.7447395621865478,-0.00758253619642064,-0.17487522158663352,0.8660598787104822
15,0.24804245159911004,0.06904913956597006,0.18963460997592604,-0.05411314738618516,-0.10184235760145016,-0.22375356974763885,-0.15780615379727916,0.2783308208445218,Minnesota Timberwolves,2005,0.05474686511629538,-0.10839688537398905,-0.12666173671505274,0.0675274921643505,-0.4654622263665924,-0.10915990788432064,-0.32366461110130396,-0.9834273982928383
